,restaurant_name,restaurant_phone,restaurant_website,hours,price_range,price_range_num,restaurant_id,cuisines,menus,last_updated,address.city,address.state,address.postal_code,address.street,address.formatted,geo.lat,geo.lon
10,Burgerhaus - Indianapolis,(317) 434-4287,http:///in/indianapolis/632259-burgerhaus-indianapolis/,,,0,3977913386164528,[''],[],2021-01-05T07:28:33.462Z,Indianapolis,IN,46202,335 W 9th St,"335 W 9th St Indianapolis, IN 46202",39.779133,-86.164528
11,Union 50,(317) 610-0234,http:///in/indianapolis/620943-union-50/,,,0,3977586486148956,[''],[],2021-01-05T07:28:33.824Z,Indianapolis,IN,46202,620 N East Street,"620 N East Street Indianapolis, IN 46202",39.775864,-86.148956
12,Panda Express,(317) 635-9726,http:///in/indianapolis/601560-panda-express/,,,0,3978128486170387,[''],[],2021-01-05T07:28:35.893Z,Indianapolis,IN,46202,645 Oscar Robertson Blvd,"645 Oscar Robertson Blvd Indianapolis, IN 46202",39.781284,-86.170387
13,Henry's on East,(317) 951-0335,http:///in/indianapolis/601024-henrys-on-east/,,,0,3977621586148499,[''],[],2021-01-05T07:28:35.995Z,Indianapolis,IN,46202,627 N East St,"627 N East St Indianapolis, IN 46202",39.776215,-86.148499
14,King Dough II,(317) 602-7960,http:///in/indianapolis/594834-king-dough-ii/,,,0,3977387686137405,[''],[],2021-01-05T07:28:36.110Z,Indianapolis,IN,46202,452 N Highland Ave,"452 N Highland Ave Indianapolis, IN 46202",39.773876,-86.137405
15,Stacked Pickle - W 10th,(317) 426-3600,http:///in/indianapolis/579056-stacked-pickle-w-10th/,,,0,3978109786174141,[''],[],2021-01-05T07:28:36.848Z,Indianapolis,IN,46202,910 W 10th St # 1,"910 W 10th St # 1 Indianapolis, IN 46202",39.781097,-86.174141
16,Oca Sun King Brewery,(317) 602-3702,http:///in/indianapolis/575468-oca-sun-king-brewery/,,,0,3976907786144730,[''],[],2021-01-05T07:28:36.989Z,Indianapolis,IN,46202,135 N College Ave,"135 N College Ave Indianapolis, IN 46202",39.769077,-86.14473
17,Ali'i Poke,(317) 602-3632,http:///in/indianapolis/570639-alii-poke/,,,0,3978116286174500,[''],[],2021-01-05T07:28:37.011Z,Indianapolis,IN,46202,910 W 10th St Ste 4,"910 W 10th St Ste 4 Indianapolis, IN 46202",39.781162,-86.1745
18,Cafe Soleil,(317) 880-5674,http:///in/indianapolis/567315-cafe-soleil/,,,0,3977815286182877,[''],[],2021-01-05T07:28:37.333Z,Indianapolis,IN,46202,640 Eskenazi Ave,"640 Eskenazi Ave Indianapolis, IN 46202",39.778152,-86.182877
19,Subway,(317) 602-7057,https://restaurants.subway.com/united-states/in/indianapolis/2181-north-meridian-street?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=48817&utm_campaign=evergreen-2020&y_source=1_MTQ,,,0,3979720086156900,[''],[],2021-01-05T07:28:38.059Z,Indianapolis,IN,46202,2181 North Meridian Street,"2181 North Meridian Street Indianapolis, IN 46202",39.7972,-86.1569
20,Mimi Blue Meatballs,(317) 737-2625,http:///in/indianapolis/538813-mimi-blue-meatballs/,,,0,3977935286143000,[''],[],2021-01-05T07:28:38.222Z,Indianapolis,IN,46202,870 Massachusetts Ave,"870 Massachusetts Ave Indianapolis, IN 46202",39.779352,-86.143
21,Dagwood's,(317) 426-5222,http:///in/indianapolis/538146-dagwoods/,,,0,3977953186173190,[''],[],2021-01-05T07:28:38.351Z,Indianapolis,IN,46202,923 Indiana Ave,"923 Indiana Ave Indianapolis, IN 46202",39.779531,-86.17319
22,Tea's Me Cafe Indy,(317) 920-1016,http:///in/indianapolis/535676-teas-me-cafe-indy/,,,0,3979757286154400,[''],[],2021-01-05T07:28:38.405Z,Indianapolis,IN,46202,140 E 22nd St,"140 E 22nd St Indianapolis, IN 46202",39.797572,-86.1544
23,MADD Greeks,(317) 602-8336,http:///in/indianapolis/535454-madd-greeks/,,,0,3978110286173933,[''],[],2021-01-05T07:28:38.456Z,Indianapolis,IN,46202,910 W 10th St,"910 W 10th St Indianapolis, IN 46202",39.781102,-86.173933
24,Baby's Indy,(317) 600-3559,http:///in/indianapolis/825266-babys-indy/,,,0,3979710886154717,[''],[],2021-01-05T07:28:08.003Z,Indianapolis,IN,46202,2147 N Talbott St,"2147 N Talbott St Indianapolis, IN 46202",39.797108,-86.154717
25,Subway,(317) 788-0760,http://www.subway.com,,,0,3978946886156742,['Sandwiches'],[],2021-01-05T07:28:08.305Z,INDIANAPOLIS,IN,46202,42 E 17th St,"42 E 17th St INDIANAPOLIS, IN 46202",39.789468,-86.156742
26,Subway,(317) 636-2988,http://www.subway.com,,,0,3977825286177185,['Sandwiches'],[],2021-01-05T07:28:08.428Z,INDIANAPOLIS,IN,46202,1002 Wishard Blvd,"1002 Wishard Blvd INDIANAPOLIS, IN 46202",39.778252,-86.177185
27,Subway,(317) 974-0490,https://restaurants.subway.com/united-states/in/indianapolis/909-indiana-ave?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=18224&utm_campaign=evergreen-2020&y_source=1_MTQ5MDEzNDEtNz,,,0,3977980086172700,['Sandwiches'],[],2021-01-05T07:28:09.155Z,Indianapolis,IN,46202,909 Indiana Ave,"909 Indiana Ave Indianapolis, IN 46202",39.7798,-86.1727
28,Subway,(317) 637-1818,http://www.subway.com,,,0,3977383686143518,['Sandwiches'],[],2021-01-05T07:28:09.522Z,INDIANAPOLIS,IN,46202,850 E Michigan St,"850 E Michigan St INDIANAPOLIS, IN 46202",39.773836,-86.143518
29,Lick Ice Cream,(317) 979-0237,http:///in/indianapolis/769526-lick-ice-cream/,,,0,3978453186133354,[''],[],2021-01-05T07:28:11.861Z,Indianapolis,IN,46202,1125 East Brookside Avenue,"1125 East Brookside Avenue Indianapolis, IN 46202",39.784531,-86.133354
30,Caribou Coffee,(317) 274-5157,http:///in/indianapolis/769544-caribou-coffee/,,,0,3977381186176209,[''],[],2021-01-05T07:28:11.864Z,Indianapolis,IN,46202,420 University Boulevard,"420 University Boulevard Indianapolis, IN 46202",39.773811,-86.176209
31,Tinker Street,(317) 925-5000,http:///in/indianapolis/769358-tinker-street/,,,0,3978854086150673,[''],[],2021-01-05T07:28:11.888Z,Indianapolis,IN,46202,402 East 16th Street,"402 East 16th Street Indianapolis, IN 46202",39.78854,-86.150673
32,Provider,(317) 550-5685,http:///in/indianapolis/767204-provider/,,,0,3978798786139443,[''],[],2021-01-05T07:28:11.933Z,Indianapolis,IN,46202,1101 East 16th Street,"1101 East 16th Street Indianapolis, IN 46202",39.787987,-86.139443
33,Rad Brewing Co,(317) 426-5851,http:///in/indianapolis/755439-rad-brewing-co/,,,0,3977277486138641,[''],[],2021-01-05T07:28:12.731Z,Indianapolis,IN,46202,414 Dorman St,"414 Dorman St Indianapolis, IN 46202",39.772774,-86.138641
34,TGI Fridays,(317) 685-8443,http://www.tgifridays.com,,,0,3976681286168283,['American'],[],2021-01-05T07:28:13.049Z,Indianapolis,IN,46202,501 W Washington St,"501 W Washington St Indianapolis, IN 46202",39.766812,-86.168283
35,Donato's Pizza,(317) 231-9700,http://www.donatos.com,,,0,3978055786172746,"['American', 'Pizza', 'Salads', 'Subs']",[],2021-01-05T07:28:30.013Z,INDIANAPOLIS,IN,46202,825 W 10th St,"825 W 10th St INDIANAPOLIS, IN 46202",39.780557,-86.172746
36,Foundry Provisions,(317) 543-7357,http:///in/indianapolis/695001-foundry-provisions/,,,0,3978860586152489,[''],[],2021-01-05T07:28:30.158Z,Indianapolis,IN,46202,236 E 16th St,"236 E 16th St Indianapolis, IN 46202",39.788605,-86.152489
37,Tandoor & Tikka,(317) 472-9600,,,,0,3978056086172096,"['American', 'Pizza']",[],2021-01-05T07:28:30.391Z,Indianapolis,IN,46202,805 W 10th St,"805 W 10th St Indianapolis, IN 46202",39.78056,-86.172096
38,St. Joseph Brewery & Public House,(317) 602-5670,http:///in/indianapolis/670112-st-joseph-brewery-public-house/,,,0,3977494186145629,[''],[],2021-01-05T07:28:30.619Z,Indianapolis,IN,46202,540 N College Ave,"540 N College Ave Indianapolis, IN 46202",39.774941,-86.145629
39,Lincoln Square Pancake House,(317) 986-7565,http:///in/indianapolis/664958-lincoln-square-pancake-house/,,,0,3978142986169655,[''],[],2021-01-05T07:28:31.151Z,Indianapolis,IN,46202,613 W 11th St,"613 W 11th St Indianapolis, IN 46202",39.781429,-86.169655
40,Copper Moon Coffee,(317) 635-1500,http:///in/indianapolis/657870-copper-moon-coffee/,,,0,3977570386176033,[''],[],2021-01-05T07:28:31.255Z,Indianapolis,IN,46202,550 University Boulevard,"550 University Boulevard Indianapolis, IN 46202",39.775703,-86.176033
41,Stardust Terrace Cafe,(317) 234-0095,http:///in/indianapolis/657813-stardust-terrace-cafe/,,,0,3977026086165878,[''],[],2021-01-05T07:28:31.676Z,Indianapolis,IN,46202,450 W Ohio St,"450 W Ohio St Indianapolis, IN 46202",39.77026,-86.165878
42,Kaffeine Coffee,(317) 201-4882,http:///in/indianapolis/652212-kaffeine-coffee/,,,0,3977611586143776,[''],[],2021-01-05T07:28:31.868Z,Indianapolis,IN,46202,707 Fulton Street,"707 Fulton Street Indianapolis, IN 46202",39.776115,-86.143776
43,Duos,(317) 880-5676,http:///in/indianapolis/637941-duos/,,,0,3977799686183983,[''],[],2021-01-05T07:28:33.073Z,Indianapolis,IN,46202,720 Eskenazi Avenue,"720 Eskenazi Avenue Indianapolis, IN 46202",39.777996,-86.183983
44,Chipotle,(317) 822-8106,http:///in/indianapolis/620127-chipotle/,,,0,3978181186169640,[''],[],2021-01-05T07:28:34.306Z,Indianapolis,IN,46202,601 Oscar Robertson Blvd,"601 Oscar Robertson Blvd Indianapolis, IN 46202",39.781811,-86.16964
45,Black Market,(317) 822-6757,http:///in/indianapolis/620032-black-market/,,,0,3978022086141800,[''],[],2021-01-05T07:28:34.310Z,Indianapolis,IN,46202,922 Massachusetts Avenue,"922 Massachusetts Avenue Indianapolis, IN 46202",39.78022,-86.1418
46,Jordan's Fish Chicken Gyros,(317) 924-5000,http:///in/indianapolis/548114-jordans-fish-chicken-gyros/,,,0,3979476586159523,[''],[],2021-01-05T07:28:37.782Z,Indianapolis,IN,46202,2066 N Illinois St,"2066 N Illinois St Indianapolis, IN 46202",39.794765,-86.159523
47,English Ivy's,(317) 822-5070,http://www.englishivys.com,,$$,2,3978077986152449,[''],[],2021-01-05T07:28:54.282Z,Indianapolis,IN,46202,944 N Alabama St,"944 N Alabama St Indianapolis, IN 46202",39.780779,-86.152449
48,Panorama Grill,(317) 423-3423,,,$,1,3977907086155463,[''],[],2021-01-05T07:28:54.844Z,Indianapolis,IN,46202,901 N Pennsylvania St,"901 N Pennsylvania St Indianapolis, IN 46202",39.77907,-86.155463
49,Bearcats Restaurant,(317) 602-3509,http://www.bearcatsindy.net,,$$,2,3978153686162827,[''],[],2021-01-05T07:28:54.979Z,Indianapolis,IN,46202,1045 N Senate Ave,"1045 N Senate Ave Indianapolis, IN 46202",39.781536,-86.162827
50,Cafe at the PROP,(317) 638-7881,http://www.occasionsdivine.com/,,$,1,3978647686154549,[''],[],2021-01-05T07:28:53.506Z,Indianapolis,IN,46202,1410 N Delaware St,"1410 N Delaware St Indianapolis, IN 46202",39.786476,-86.154549
51,Serendipity 2,(317) 638-7881,http://www.occasionsdivine.com/serendipity2.html,,$,1,3978648286154501,[''],[],2021-01-05T07:28:53.538Z,Indianapolis,IN,46202,1410 N Delaware St.,"1410 N Delaware St. Indianapolis, IN 46202",39.786482,-86.154501
52,Hong Kong Restaurant,(317) 951-8882,http://www.urbanspoon.com/r/40/441154/restaurant/downtown/hong-kong-indianapolis,,$$,2,3978767886159935,[''],[],2021-01-05T07:28:55.204Z,Indianapolis,IN,46202,1524 N Illinois St,"1524 N Illinois St Indianapolis, IN 46202",39.787678,-86.159935
53,Kountry Kitchen Soul Food Place,(317) 926-4476,http://www.kountrykitchenindy.com/menu.html,,$,1,3979195286144392,[''],[],2021-01-05T07:28:55.245Z,Indianapolis,IN,46202,1831 N College Ave,"1831 N College Ave Indianapolis, IN 46202",39.791952,-86.144392
54,DiBella's Subs,(317) 951-7150,,,$,1,3978096386173678,[''],[],2021-01-05T07:28:55.575Z,Indianapolis,IN,46202,910 W 10th St,"910 W 10th St Indianapolis, IN 46202",39.780963,-86.173678
55,Napolese Pizzeria,(317) 635-0765,http://www.napolesepizzeria.com,,$$,2,3976609886158503,[''],[],2021-01-05T07:28:55.652Z,Indianapolis,IN,46202,30 South Meridian Street,"30 South Meridian Street Indianapolis, IN 46202",39.766098,-86.158503
56,Ralph's Great Divide,(317) 637-2192,,,$$,2,3977091686143960,[''],[],2021-01-05T07:28:55.688Z,Indianapolis,IN,46202,743 East New York Street,"743 East New York Street Indianapolis, IN 46202",39.770916,-86.14396
57,Creation Cafe,(317) 955-2389,http://www.creationcafeandeuphoria.com/creationcafe/,,$,1,3978212086165778,[''],[],2021-01-05T07:28:55.796Z,Indianapolis,IN,46202,337 West 11th Street,"337 West 11th Street Indianapolis, IN 46202",39.78212,-86.165778
58,Taichi Asian Grill House,(317) 684-1818,,,$,1,3977997286172446,['Chinese'],[],2021-01-05T07:28:56.693Z,Indianapolis,IN,46202,917 Indiana Ave,"917 Indiana Ave Indianapolis, IN 46202",39.779972,-86.172446
59,Lockerbie Pub,(317) 631-9545,,,$,1,3977367086145744,"['American', 'Pub Food']",[],2021-01-05T07:28:57.247Z,Indianapolis,IN,46202,631 E Michigan St,"631 E Michigan St Indianapolis, IN 46202",39.77367,-86.145744
60,Hotbox Pizza,(317) 656-6000,http://gethotboxpizza.com/,,$$,2,3977984486173434,[''],[],2021-01-05T07:28:57.421Z,INDIANAPOLIS,IN,46202,923 Indiana Ave,"923 Indiana Ave INDIANAPOLIS, IN 46202",39.779844,-86.173434
61,Giorgio's Pizza,(317) 687-9869,,,,0,3976823986157039,"['American', 'Pizza']",[],2021-01-05T07:28:57.865Z,Indianapolis,IN,46202,9 E Market St,"9 E Market St Indianapolis, IN 46202",39.768239,-86.157039
62,Iaria's Italian Restaurant,(317) 638-7706,,,,0,3976202286145825,['Italian'],[],2021-01-05T07:28:57.880Z,INDIANAPOLIS,IN,46202,317 S College Ave,"317 S College Ave INDIANAPOLIS, IN 46202",39.762022,-86.145825
63,White Castle,,,,,0,3978879886159666,"['American', 'Burgers']",[],2021-01-05T07:28:58.142Z,Indianapolis,IN,46202,102 W 16th St,"102 W 16th St Indianapolis, IN 46202",39.788798,-86.159666
64,TCBY,,,,,0,3979009786162600,"['American', 'Ice Cream', 'Smoothies & Juices']",[],2021-01-05T07:28:58.957Z,INDIANAPOLIS,IN,46202,1701 Senate Blvd,"1701 Senate Blvd INDIANAPOLIS, IN 46202",39.790097,-86.1626
65,Taco Bell,(317) 632-4238,http://www.tacobell.com,,,0,3978005686173683,['Mexican'],[],2021-01-05T07:28:59.179Z,Indianapolis,IN,46202,951 Indiana Ave,"951 Indiana Ave Indianapolis, IN 46202",39.780056,-86.173683
66,QDOBA Mexican Eats,(317) 423-3932,http://www.qdoba.com,,,0,3977972086172666,['Mexican'],[],2021-01-05T07:28:05.811Z,Indianapolis,IN,46202,907 Indiana Ave,"907 Indiana Ave Indianapolis, IN 46202",39.77972,-86.172666
67,IHOP,(317) 635-6281,http://ihop.com,,,0,3978819986156854,"['American', 'Burgers', 'Salads', 'Sandwiches', 'Soups', 'Steak', 'Wraps']",[],2021-01-05T07:28:06.023Z,INDIANAPOLIS,IN,46202,1549 N Meridian St,"1549 N Meridian St INDIANAPOLIS, IN 46202",39.788199,-86.156854
68,Jimmy John's,(317) 964-0093,http://www.jimmyjohns.com,,,0,3978210786168352,"['American', 'Sandwiches', 'Wraps']",[],2021-01-05T07:28:06.477Z,INDIANAPOLIS,IN,46202,605 W 11th St,"605 W 11th St INDIANAPOLIS, IN 46202",39.782107,-86.168352
69,Mori Sushi,(317) 964-0139,http:///in/indianapolis/839560-mori-sushi/,,,0,3976319586145485,[''],[],2021-01-05T07:28:07.138Z,Indianapolis,IN,46202,231 S College Ave,"231 S College Ave Indianapolis, IN 46202",39.763195,-86.145485
70,Papa John's Pizza,(317) 632-7272,http://www.papajohns.com,,,0,3978042186173198,"['American', 'Pizza']",[],2021-01-05T07:28:07.166Z,INDIANAPOLIS,IN,46202,953 Indiana Ave,"953 Indiana Ave INDIANAPOLIS, IN 46202",39.780421,-86.173198
71,Taco Bell,(317) 632-4238,https://locations.tacobell.com/in/indianapolis/951-indiana-avenue.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=028915&utm_content=website,,,0,3978010086173700,[''],[],2021-01-05T07:28:39.037Z,Indianapolis,IN,46202,951 Indiana Avenue,"951 Indiana Avenue Indianapolis, IN 46202",39.7801,-86.1737
72,Oso's Republic,(317) 423-3423,,,,0,3977919886155808,[''],[],2021-01-05T07:28:51.386Z,Indianapolis,IN,46202,901 N Pennsylvania,"901 N Pennsylvania Indianapolis, IN 46202",39.779198,-86.155808
73,City Barbeque IUPUI,(317) 333-6234,,,,0,3978121986169493,[''],[],2021-01-05T07:28:51.552Z,Indianapolis,IN,46202,621 W 11th St,"621 W 11th St Indianapolis, IN 46202",39.781219,-86.169493
74,Hoagies & Hops,(317) 296-8430,,,,0,3977283586138683,[''],[],2021-01-05T07:28:51.697Z,Indianapolis,IN,46202,414 N Dorman St,"414 N Dorman St Indianapolis, IN 46202",39.772835,-86.138683
75,Fresco Italian Cafe on the Canal,(317) 797-9185,,,,0,3977442286163521,[''],[],2021-01-05T07:28:51.781Z,Indianapolis,IN,46202,310 W Michigan St,"310 W Michigan St Indianapolis, IN 46202",39.774422,-86.163521
76,Corner Cantina,(317) 749-0702,,,,0,3977484686165781,[''],[],2021-01-05T07:28:51.904Z,Indianapolis,IN,46202,543 Indiana Ave,"543 Indiana Ave Indianapolis, IN 46202",39.774846,-86.165781
77,Al Basha Restaurant,(317) 672-7695,http://www.albashadowntown.com,,$,1,3978116086174500,['Mediterranean'],[],2021-01-05T07:28:51.955Z,Indianapolis,IN,46202,910 W 10th St #13,"910 W 10th St #13 Indianapolis, IN 46202",39.78116,-86.1745
78,Penn & Palate,(317) 602-6975,,,,0,3978840086156867,[''],[],2021-01-05T07:28:51.963Z,Indianapolis,IN,46202,28 E 16th St,"28 E 16th St Indianapolis, IN 46202",39.7884,-86.156867
79,Sultana Cafe & Hookah Bar,(317) 672-7000,,,,0,3978186186144706,[''],[],2021-01-05T07:28:51.970Z,Indianapolis,IN,46202,1107 N College Ave,"1107 N College Ave Indianapolis, IN 46202",39.781861,-86.144706
80,Forty Five Degrees,(317) 567-3663,,,,0,3977728686145450,[''],[],2021-01-05T07:28:52.180Z,Indianapolis,IN,46202,765 Massachusetts Ave,"765 Massachusetts Ave Indianapolis, IN 46202",39.777286,-86.14545
81,Burger Haus (W 9th St),(317) 970-7000,,,$$$,3,3977943086164197,[''],[],2021-01-05T07:28:52.336Z,Indianapolis,IN,46202,335 W 9th St,"335 W 9th St Indianapolis, IN 46202",39.77943,-86.164197
82,DJ's Hot Dogs (Indiana Ave),(317) 970-7000,,,$,1,3977991086172353,[''],[],2021-01-05T07:28:52.376Z,Indianapolis,IN,46202,923 Indiana Ave,"923 Indiana Ave Indianapolis, IN 46202",39.77991,-86.172353
83,Sushi Boss,(317) 970-7000,,,$$,2,3978055786172077,[''],[],2021-01-05T07:28:52.421Z,Indianapolis,IN,46202,803 W 10th St Ste B,"803 W 10th St Ste B Indianapolis, IN 46202",39.780557,-86.172077
84,Delhi Palace (Indiana Ave),(317) 970-7000,,,$$$,3,3977936086173262,[''],[],2021-01-05T07:28:52.445Z,Indianapolis,IN,46202,901 Indiana Ave,"901 Indiana Ave Indianapolis, IN 46202",39.77936,-86.173262
85,Noodles & Company,(317) 638-0340,https://locations.noodles.com/in/indianapolis/903-indiana-ave.html,,$,1,3977960086172700,[''],[],2021-01-05T07:28:52.469Z,Indianapolis,IN,46202,903 Indiana Ave,"903 Indiana Ave Indianapolis, IN 46202",39.7796,-86.1727
86,Pizza Hut,(317) 917-8844,http://www.pizzahut.com/locations/indiana/indianapolis/029449,,$$$,3,3978130786169495,[''],[],2021-01-05T07:28:52.541Z,Indianapolis,IN,46202,617 W 11th St,"617 W 11th St Indianapolis, IN 46202",39.781307,-86.169495
87,Bento Asian Bistro,(317) 423-2301,,,$$,2,3977954186172833,[''],[],2021-01-05T07:28:52.976Z,Indianapolis,IN,46202,901 Indiana Avenue,"901 Indiana Avenue Indianapolis, IN 46202",39.779541,-86.172833
88,DJ's Hot Dog Company,(317) 423-8936,http://www.djshotdogs.com,,$,1,3977990786172310,[''],[],2021-01-05T07:28:53.119Z,Indianapolis,IN,46202,923 Indiana Ave,"923 Indiana Ave Indianapolis, IN 46202",39.779907,-86.17231
89,The Grub House,(317) 974-9089,http://www.urbanspoon.com/r/40/1880797/restaurant/Northeast/Grub-House-Indianapolis,,$,1,3979375886144733,[''],[],2021-01-05T07:28:53.142Z,Indianapolis,IN,46202,1953 N College Ave,"1953 N College Ave Indianapolis, IN 46202",39.793758,-86.144733
90,The Milano Inn,(317) 264-3585,http://www.milanoinn.com,,$,1,3976331286145693,['Italian'],[],2021-01-05T07:29:02.251Z,INDIANAPOLIS,IN,46202,231 S College Ave,"231 S College Ave INDIANAPOLIS, IN 46202",39.763312,-86.145693
91,Hardee's,(317) 634-8441,http://www.hardees.com,,,0,3978088186170847,"['American', 'Burgers']",[],2021-01-05T07:29:03.092Z,INDIANAPOLIS,IN,46202,710 W 10th St,"710 W 10th St INDIANAPOLIS, IN 46202",39.780881,-86.170847
92,Hardee's,(317) 631-8890,http://www.hardees.com,,,0,3976652286141883,"['American', 'Burgers']",[],2021-01-05T07:29:03.191Z,Indianapolis,IN,46202,921 E Washington S,"921 E Washington S Indianapolis, IN 46202",39.766522,-86.141883
93,Hardee's,(317) 925-7650,http://www.hardees.com,,,0,3978868586160526,"['American', 'Burgers']",[],2021-01-05T07:29:03.418Z,Indianapolis,IN,46202,144 W 16th St,"144 W 16th St Indianapolis, IN 46202",39.788685,-86.160526
94,Quiznos Sub,(317) 636-3046,http://www.quiznos.com/,,,0,3978052186172146,"['American', 'Sandwiches', 'Wraps']",[],2021-01-05T07:29:10.605Z,INDIANAPOLIS,IN,46202,805 W 10th St,"805 W 10th St INDIANAPOLIS, IN 46202",39.780521,-86.172146
95,Starbucks Coffee,(317) 822-3740,http://www.starbucks.com,,,0,3978157286170783,"['American', 'Coffee & Tea']",[],2021-01-05T07:29:11.962Z,INDIANAPOLIS,IN,46202,645 W 11th St,"645 W 11th St INDIANAPOLIS, IN 46202",39.781572,-86.170783
96,Nothing But Noodles,(317) 638-0340,http://www.nothingbutnoodles.com,,,0,3977946486173085,['Italian'],[],2021-01-05T07:29:12.004Z,INDIANAPOLIS,IN,46202,903 Indiana Ave,"903 Indiana Ave INDIANAPOLIS, IN 46202",39.779464,-86.173085
97,McDonald's,,http://www.mcdonalds.com,,,0,3987017486140785,"['American', 'Burgers']",[],2021-01-05T07:29:00.734Z,INDIANAPOLIS,IN,46220,1020 Broad Ripple Ave,"1020 Broad Ripple Ave INDIANAPOLIS, IN 46220",39.870174,-86.140785
98,McDonald's,,http://www.mcdonalds.com,,,0,3988205286069716,"['American', 'Burgers']",[],2021-01-05T07:29:00.747Z,INDIANAPOLIS,IN,46220,7000 Graham Rd,"7000 Graham Rd INDIANAPOLIS, IN 46220",39.882052,-86.069716
99,Wendy's,(317) 257-5787,https://locations.wendys.com/united-states/in/indianapolis/5509-n.-keystone,,,0,3985320086121700,"['American', 'Burgers']",[],2021-01-05T07:29:01.426Z,Indianapolis,IN,46220,5509 N. Keystone,"5509 N. Keystone Indianapolis, IN 46220",39.8532,-86.1217
100,Marco's Pizza,(317) 214-4100,,,,0,3986948986146425,"['American', 'Pizza']",[],2021-01-05T07:28:30.347Z,INDIANAPOLIS,IN,46220,6286 N College Ave,"6286 N College Ave INDIANAPOLIS, IN 46220",39.869489,-86.146425
101,Sam's Gyros,(317) 251-8503,http:///in/indianapolis/670105-sams-gyros/,,,0,3985116686146118,[''],[],2021-01-05T07:28:30.638Z,Indianapolis,IN,46220,5404 North College Avenue,"5404 North College Avenue Indianapolis, IN 46220",39.851166,-86.146118
102,Keystone Diner,(317) 255-2288,http:///in/indianapolis/670089-keystone-deli/,,,0,3984950686122818,[''],[],2021-01-05T07:28:30.757Z,Indianapolis,IN,46220,2344 E 53rd St,"2344 E 53rd St Indianapolis, IN 46220",39.849506,-86.122818
103,El Meson,(463) 206-2802,http:///in/indianapolis/664359-el-meson/,,,0,3988147786067253,[''],[],2021-01-05T07:28:31.285Z,Indianapolis,IN,46220,6935 b1 lake plaza drive,"6935 b1 lake plaza drive Indianapolis, IN 46220",39.881477,-86.067253
